,This study,,Journal paper,,Journal paper,,Journal paper,,Nopol website,,Nopol website,,Nopol website,
,Prob All Mut,Number of failed held-out TC,GenProg,Number of failed held-out TC,TRP,Number of failed held-out TC,PAR,Number of failed held-out TC,NopolPC May2015,Pass Held Out Test Suite,NopolC May 2015,Pass Held Out Test Suite,Nopol March 2017,Number of failed held-out TC
Lang 58,No patch found,,No patch found,,No patch found,,lang58_Seed12_ExpressionReplace_88_variant27patch.diff,2,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#lang-58,1
,,,,,,,lang58_Seed15_ExpressionReplace_87_variant15patch.diff,2,,,,,,
Lang 59,No patch found,,lang59_Seed9_r_346_12_patch.diff,1,lang59_Seed12_r_346_257_patch.diff,0,lang59_Seed2_ParameterReplacer_351_variant193patch.diff,0,,,,,No patch found,0
Math 2,No patch found,,No patch found,,No patch found,,math2_Seed6_MethodReplacer_80_variant283patch.diff,0,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#math-2,0
Math 5,No patch found,,No patch found,,No patch found,,math5_Seed2_ExpressionAdd_96_variant42patch.diff,3,,,,,No patch found,
,,,,,,,math5_Seed5_ExpressionReplace_96_variant21patch.diff,3,,,,,,
Math 33,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#math-33,0
Math 41,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#math-41,1
Math 57,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#math-57,0
Math 69,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#math-69,0
Math 75,No patch found,,No patch found,,No patch found,,math75_Seed6_MethodReplacer_83_variant68patch.diff,0,,,,,No patch found,
Math 80,No patch found,,math80_Seed11_a_37_448_patch.diff,2,math80_Seed10_r_535_9_patch.diff,2,math80_Seed6_ParameterReplacer_350_variant243patch.diff,2,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#math-80,2
,,,math80_Seed12_a_209_39_patch.diff,7,math80_Seed11_r_537_774_patch.diff,2,,,,,,,,
,,,math80_Seed13_r_540_518_patch.diff,2,math80_Seed12_r_347_392_patch.diff,2,,,,,,,,
,,,math80_Seed14_a_561_448_patch.diff,2,math80_Seed14_r_538_859_patch.diff,2,,,,,,,,
,,,math80_Seed17_d_538_patch.diff,2,math80_Seed15_r_535_905_patch.diff,2,,,,,,,,
,,,math80_Seed18_r_537_519_patch.diff,2,math80_Seed17_r_536_38_patch.diff,2,,,,,,,,
,,,math80_Seed19_r_540_197_patch.diff,2,math80_Seed18_r_536_642_patch.diff,2,,,,,,,,
,,,math80_Seed1_d_533_patch.diff,2,math80_Seed19_r_536_517_patch.diff,2,,,,,,,,
,,,math80_Seed1_d_533_patch.diff,2,math80_Seed1_d_536_patch.diff,2,,,,,,,,
,,,math80_Seed4_r_350_38_patch.diff,2,math80_Seed2_r_537_772_patch.diff,2,,,,,,,,
,,,math80_Seed5_d_532_patch.diff,2,math80_Seed3_d_535_patch.diff,2,,,,,,,,
,,,math80_Seed6_d_350_patch.diff,2,math80_Seed7_r_536_510_patch.diff,2,,,,,,,,
,,,math80_Seed7_r_540_899_patch.diff,2,math80_Seed9_d_538_patch.diff,2,,,,,,,,
